GroupName,GroupCategory,GroupScope,OU
Finance,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
R&D,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
IT,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
HR,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Executive,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
AccountingGeneral,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
AccountsPayable,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
AccountsReceivable,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Admins,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
All_Users,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
AuditMgmt,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
BenefitCommittee,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Benefits,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Buyer,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
campusAccess,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Compensation,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Contractors,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Corporate-VPN,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Cost-SavingsAnalysis,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
customerDataCenter,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DataArchive,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DataComm,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DBAs,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_All,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_EastCoast,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_Europe,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_Internal,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_Mgmt,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_Projects,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_Stage,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DEV_WestCoast,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Development,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DispenseRX,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
DNSAdministration,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
Employeement,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
ENG_All,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
ENG_EastCoast,Security,Global,"OU=Groups,OU=Demo,DC=Eshiam,DC=com"
